timestamp,level,message,service
2024-01-15 10:00:01,INFO,User login successful user_id=u-1029,auth-service
2024-01-15 10:00:05,ERROR,Database connection timeout after 30s retries=3,db-service
2024-01-15 10:00:07,CRITICAL,Memory usage exceeded 95% threshold current=97.2%,api-gateway
2024-01-15 10:00:09,INFO,Health check passed latency=4ms,health-check
2024-01-15 10:00:12,INFO,Cache hit ratio=0.94 keys=18200,cache-service
2024-01-15 10:00:14,WARN,Slow query detected duration=2340ms table=orders,db-service
2024-01-15 10:00:16,INFO,Payment processed order_id=ord-8821 amount=299.99,payment-service
2024-01-15 10:00:18,INFO,Email notification sent to user@example.com,notification-service
2024-01-15 10:00:20,ERROR,Connection refused to Redis host=redis-01 port=6379,cache-service
2024-01-15 10:00:22,INFO,API request GET /api/v1/products 200 latency=12ms,api-gateway
2024-01-15 10:00:24,CRITICAL,Out of memory - OOM killer invoked process=worker-7,api-gateway
2024-01-15 10:00:26,INFO,User registration completed email=new@example.com,auth-service
2024-01-15 10:00:28,WARN,Rate limit threshold 80% reached client_ip=203.0.113.42,api-gateway
2024-01-15 10:00:30,INFO,Scheduled job completed task=cleanup_old_sessions duration=340ms,scheduler
2024-01-15 10:00:32,INFO,File upload completed size=4.2MB type=application/pdf,storage-service
2024-01-15 10:00:34,ERROR,SSL certificate expired domain=api.internal expires=2024-01-10,api-gateway
2024-01-15 10:00:36,INFO,Database query executed rows=250 duration=45ms,db-service
2024-01-15 10:00:38,INFO,Background worker started task=index_rebuild,scheduler
2024-01-15 10:00:40,WARN,High CPU utilization 85% process=node worker=2,api-gateway
2024-01-15 10:00:42,INFO,Webhook delivered event=payment.success endpoint=https://client.example.com,notification-service
2024-01-15 10:00:44,ERROR,Segmentation fault in worker process pid=9821,api-gateway
2024-01-15 10:00:46,INFO,User session refreshed user_id=u-4412,auth-service
2024-01-15 10:00:48,INFO,Product inventory updated sku=SKU-991 quantity=500,inventory-service
2024-01-15 10:00:50,WARN,Disk usage at 88% mount=/var/data,storage-service
2024-01-15 10:00:52,INFO,Metrics exported to Prometheus scrape_interval=15s,monitoring
2024-01-15 10:00:54,ERROR,Failed to write to disk mount=/var/log errno=ENOSPC,storage-service
2024-01-15 10:00:56,INFO,Cache primed for user_id=u-7701 keys=120,cache-service
2024-01-15 10:00:58,INFO,Load balancer health check OK upstream=api-gateway-1,load-balancer
2024-01-15 10:01:00,CRITICAL,Disk full on /var/data - writes failing mount=/var/data free=0B,storage-service
2024-01-15 10:01:02,INFO,New dashboard created name=Production Monitoring user_id=u-1029,auth-service
2024-01-15 10:01:04,INFO,API request POST /api/v1/orders 201 latency=88ms,api-gateway
2024-01-15 10:01:06,WARN,Retry attempt 2/3 for outbound webhook event=order.created,notification-service
2024-01-15 10:01:08,INFO,Query cache eviction keys=3200 reason=max_memory,cache-service
2024-01-15 10:01:10,ERROR,Authentication token validation failed token_id=tok-x91,auth-service
2024-01-15 10:01:12,INFO,Kafka consumer lag=0 topic=log-events partition=3,queue-service
2024-01-15 10:01:14,WARN,Connection pool exhausted pool=db-write waiting=14,db-service
2024-01-15 10:01:16,INFO,Model inference completed latency=28ms score=0.12,ml-service
2024-01-15 10:01:18,INFO,Audit log entry created action=role_change user_id=u-8811,auth-service
2024-01-15 10:01:20,ERROR,Timeout waiting for upstream response after 5000ms,api-gateway
2024-01-15 10:01:22,INFO,Report generated report_id=rpt-4421 rows=15200,analytics-service
2024-01-15 10:01:24,CRITICAL,Kernel panic - not syncing: VFS: Unable to mount root fs,api-gateway
2024-01-15 10:01:26,INFO,User logout completed user_id=u-1029 session_duration=3600s,auth-service
2024-01-15 10:01:28,INFO,S3 upload completed bucket=logguardian-data key=archive/2024-01.gz,storage-service
2024-01-15 10:01:30,WARN,Elevated error rate 4.2% in last 5min service=payment-service,monitoring
2024-01-15 10:01:32,INFO,Sync completed records=12000 source=postgres dest=elasticsearch,db-service
2024-01-15 10:01:34,INFO,Feature flag evaluated flag=new_checkout user_id=u-5512 result=true,api-gateway
2024-01-15 10:01:36,ERROR,Payment gateway timeout gateway=stripe attempt=1 order_id=ord-9932,payment-service
2024-01-15 10:01:38,INFO,API request GET /api/v1/dashboard/metrics 200 latency=34ms,api-gateway
2024-01-15 10:01:40,INFO,Scheduled backup completed size=2.1GB duration=420s,storage-service
2024-01-15 10:01:42,WARN,JWT token expiring soon user_id=u-3310 expires_in=300s,auth-service
2024-01-15 10:01:44,INFO,Anomaly detection model trained samples=850 accuracy=0.91,ml-service
2024-01-15 10:01:46,ERROR,Database replication lag detected lag=12s replica=db-replica-02,db-service
2024-01-15 10:01:48,INFO,Order shipped order_id=ord-8821 carrier=fedex tracking=FX9921,inventory-service
2024-01-15 10:01:50,CRITICAL,Connection refused on critical dependency host=auth-service port=8080,api-gateway
2024-01-15 10:01:52,INFO,API request DELETE /api/v1/sessions 204 latency=9ms,api-gateway
2024-01-15 10:01:54,INFO,Log batch ingested count=50 dashboard_id=dash-001,ml-service
2024-01-15 10:01:56,WARN,High memory usage 78% process=api-server worker=1,api-gateway
2024-01-15 10:01:58,INFO,User password changed user_id=u-7700 triggered_by=user,auth-service
2024-01-15 10:02:00,INFO,Prometheus metrics scraped targets=12 duration=220ms,monitoring
2024-01-15 10:02:02,ERROR,Failed to send email SMTP error 550 recipient=invalid@domain.x,notification-service
2024-01-15 10:02:04,INFO,Nginx reload completed workers=4 config=/etc/nginx/nginx.conf,load-balancer
2024-01-15 10:02:06,INFO,Database vacuum completed table=logs duration=1800s freed=4.2GB,db-service
2024-01-15 10:02:08,CRITICAL,Fatal exception in payment processor: NullPointerException,payment-service
2024-01-15 10:02:10,INFO,CDN cache purged paths=120 region=us-east-1,storage-service
2024-01-15 10:02:12,INFO,API request GET /api/v1/alerts 200 latency=21ms,api-gateway
2024-01-15 10:02:14,WARN,Webhook retry exhausted event=order.created endpoint=https://fail.example.com,notification-service
2024-01-15 10:02:16,INFO,Queue drained topic=email-notifications messages=450,queue-service
